Time	Conc
2220.042	0.014
2220.083	0.014
2220.125	0.014
2220.167	0.014
2220.208	0.014
2220.25	0.0139
2220.292	0.0139
2220.333	0.0139
2220.375	0.0139
2220.417	0.0139
2220.458	0.0138
2220.5	0.0138
2220.542	0.0138
2220.583	0.0138
2220.625	0.0138
2220.667	0.0137
2220.708	0.0137
2220.75	0.0137
2220.792	0.0137
2220.833	0.0137
2220.875	0.0136
2220.917	0.0136
2220.958	0.0136
2221	0.0136
2221.042	0.0136
2221.083	0.0135
2221.125	0.0135
2221.167	0.0135
2221.208	0.0135
2221.25	0.0135
2221.292	0.0134
2221.333	0.0134
2221.375	0.0134
2221.417	0.0134
2221.458	0.0134
2221.5	0.0133
2221.542	0.0133
2221.583	0.0133
2221.625	0.0133
2221.667	0.0133
2221.708	0.0132
2221.75	0.0132
2221.792	0.0132
2221.833	0.0132
2221.875	0.0132
2221.917	0.0131
2221.958	0.0131
2222	0.0131
2222.042	0.0131
2222.083	0.0131
2222.125	0.013
2222.167	0.013
2222.208	0.013
2222.25	0.013
2222.292	0.013
2222.333	0.013
2222.375	0.0129
2222.417	0.0129
2222.458	0.0129
2222.5	0.0129
2222.542	0.0129
2222.583	0.0128
2222.625	0.0128
2222.667	0.0128
2222.708	0.0128
2222.75	0.0128
2222.792	0.0127
2222.833	0.0127
2222.875	0.0127
2222.917	0.0127
2222.958	0.0127
2223	0.0126
2223.042	0.0126
2223.083	0.0126
2223.125	0.0126
2223.167	0.0126
2223.208	0.0126
2223.25	0.0125
2223.292	0.0125
2223.333	0.0125
2223.375	0.0125
2223.417	0.0125
2223.458	0.0124
2223.5	0.0124
2223.542	0.0124
2223.583	0.0124
2223.625	0.0124
2223.667	0.0123
2223.708	0.0123
2223.75	0.0123
2223.792	0.0123
2223.833	0.0123
2223.875	0.0123
2223.917	0.0122
2223.958	0.0122
2224	0.0122
2224.042	0.0122
2224.083	0.0122
2224.125	0.0121
2224.167	0.0121
2224.208	0.0121
2224.25	0.0121
2224.292	0.0121
2224.333	0.0121
2224.375	0.012
2224.417	0.012
2224.458	0.012
2224.5	0.012
2224.542	0.012
2224.583	0.0119
2224.625	0.0119
2224.667	0.0119
2224.708	0.0119
2224.75	0.0119
2224.792	0.0119
2224.833	0.0118
